base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
poistaa	1	Remove, eliminate, delete	(tags: seed:poistaa, model:remove.01)	Poistaa, pyyhkiä pois, lakkauttaa	NULL	NULL	NULL	NULL	01335028, 00456377, 02512514	49d7ebc
poistua	1	exit	NULL	lähteä pois jostakin	NULL	exit.01	NULL	NULL	NULL	NULL
polkea	1	Pedal	NULL	Polkea 	NULL	NULL	NULL	NULL	NULL	NULL
polkeutua	1	Be stamped on	NULL	Polkeutua, joutua poljetuksi	NULL	NULL	NULL	NULL	NULL	NULL
polskia	1	Splash	NULL	Polskia	NULL	NULL	NULL	NULL	NULL	NULL
poltella	1	Smoke, use a substance (often cigarettes)	(tags: model:smoke.02)	Käyttää jotain ainetta polttamalla (usein tupakkaa)	NULL	NULL	NULL	1952	NULL	NULL
polttaa	1	Smoke, use a substance (often cigarettes)	(tags: model:smoke.02)	Käyttää jotain ainetta polttamalla (usein tupakkaa)	NULL	NULL	NULL	NULL	01145858	3b935d2
polttaa	2	Destroy with fire	(tags: model:burn.01)	Tuhota tulella	NULL	NULL	NULL	NULL	00368288	5ae89c2
polttaa	3	Make something with heat	NULL	Valmistaa jotain polttamalla	NULL	NULL	NULL	NULL	00312520	2439df9
polttaa	4	Hurt with heat, sting	NULL	Satuttaa kuumuudella, poltella	NULL	NULL	NULL	NULL	02028491,02028709,02031257	4b813ce
polveutua	1	Descend from	NULL	Polveutua jstk	NULL	NULL	NULL	NULL	NULL	NULL
pommittaa	1	Bomb	tags:model:bomb.01	Pommittaa	NULL	NULL	NULL	NULL	NULL	NULL
pompahdella	1	Jump, hop, bounce		Hyppiä	NULL	NULL	NULL	2578	NULL	NULL
pomppia	1	Jump, leap	Note: Not in sync with jump.03 or leap.03, arg2 or arg3 not present in English. Literal or figurative use.	Hypätä, loikata	Huom. Ei synkr. jump.03:n or leap.03:n kanssa, arg2 ja arg3 ei läsnä englannissa. Kirjaimellinen tai kuvainnollinen käyttö.	none.01	NULL	3623	NULL	NULL
ponnistaa	1	Strive	tags:model:strive.01	Ponnistaa	NULL	NULL	NULL	NULL	NULL	NULL
ponnistella	1	struggle	NULL	NULL	NULL	struggle.02	NULL	NULL	NULL	NULL
porottaa	1	Blaze (down), burn brightly	(tags: model:blaze.01)	Porottaa, palaa kirkkaasti	NULL	blaze.01	NULL	NULL	NULL	NULL
postittaa	1	mail	NULL	lähettää postitse	NULL	mail.01	NULL	NULL	NULL	NULL
potea	1	suffer from	NULL	sairastaa jotakin	NULL	suffer.01	NULL	NULL	NULL	NULL
potkaista	1	Kick	(tags:model:kick.01)	Potkia		kick.01	NULL	2470	NULL	NULL
potkia	1	Kick	Note: not in sync with kick.01, no arg2 in Finnish	Potkia	Huom! Ei synkr kick.01:n kanssa, suomessa ei arg2;a	NULL	NULL	NULL	NULL	NULL
potkulautailla	1	Skateboard	NULL	Potkulautailla	NULL	NULL	NULL	NULL	NULL	NULL
povata	1	Predict, foretell	(tags: model:predict.01)	Ennustaa, arvailla tulevaisuutta	NULL	predict.01	NULL	2701	NULL	NULL
prosessoida	1	Handle, treat, process something (e.g. food products)	(tags: seed:käsitellä, model:treat.04)	Käsitellä jotain (esim. ruoka-aineita)		treat.04	NULL	NULL	00489446, 00490840	48c2272
protestoida	1	Protest	(tags: model:protest.01, seed:osoittaa, phrasal)	Osoittaa mieltään, protestoida		NULL	NULL	NULL	00891677	3d565a1
psyykata	1	Psych up	tags:model:psych.01	Psyykata	NULL	NULL	NULL	NULL	NULL	NULL
pudistaa	1	Shake one's head	NULL	Pudistaa päätään	NULL	NULL	NULL	NULL	NULL	NULL
pudistella	1	Shake	(tags: model:rock.01)	Pudistella, ravistella	NULL	shake.01	NULL	3810	NULL	NULL
pudota	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	fall.01	NULL	NULL	02268970	1c3a640
pudottaa	1	Lower something, move down	(tags: seed:laskea, model:lower.01)	Siirtää alaspäin, vähentää	(tags: seed:laskea, model:lower.01)	drop.01	NULL	NULL	01873143, 01865696	10be1ec
puhallella	1	Blow	NULL	Puhaltaa	NULL	NULL	NULL	2474	NULL	NULL
puhaltaa	1	Blow	NULL	Puhaltaa	NULL	NULL	NULL	NULL	NULL	NULL
puhaltaa	2	Blow	NULL	Puhaltaa	NULL	NULL	NULL	NULL	NULL	NULL
puhdistaa	1	clean	NULL	saada lika pois	NULL	NULL	NULL	NULL	NULL	NULL
puhella	1	Speak	(tags: model:speak.01)	Kertoa sanallisesti	NULL	NULL	NULL	1675	NULL	NULL
puhista	1	Huff and puff, cause a huffing noise	NULL	Puhista, aiheuttaa puhiseva ääni	NULL	none.01	NULL	NULL	NULL	NULL
puhjeta	1	Burst	Note: not in sync with burst.02, no arg0 in Finnish	Puhjeta	Huom! Ei synkr. burst.02:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
puhkua	1	Huff and puff	NULL	Puhkua	NULL	NULL	NULL	NULL	NULL	NULL
puhua	1	Speak	(tags: model:speak.01)	Kertoa sanallisesti	NULL	speak.01	NULL	NULL	00945301	eea3a5
puhuttaa	1	Bring about, cause discussion	NULL	Herättää keskustelua	NULL	none.01	NULL	NULL	NULL	NULL
puistattaa	1	Cause someone to shudder	Note: Not in sync with shudder.01, Finnish has causer	Puistattaa, aiheuttaa puistatusta	Huom! Ei synkr. shudder.01:n kanssa, suomessa aiheuttaja	none.01	NULL	NULL	NULL	NULL
pujottautua	1	Worm one's way through	NULL	Pujottautua	NULL	NULL	NULL	NULL	NULL	NULL
pukea	1	Dress	tags:model:dress.01	Pukea	NULL	NULL	NULL	NULL	NULL	NULL
pukeutua	1	Dress oneself	Note: Not in sync with dress.01, no arg1 in Finnish	Pukeutua	Huom! Ei synkr. dress.01:n kanssa, suomessa ei arg1:ä	NULL	NULL	NULL	NULL	NULL
pulikoida	1	Splash	NULL	Polskia, pulikoida	NULL	NULL	NULL	3064	NULL	NULL
pullistua	1	Bulge	Note: not in sync with bulge.01, no args 0, 2 in Finnish	Pullistua	Huom! Ei synkr. bulge.01:n kanssa, suomessa ei arg:a 0 eikä 2	NULL	NULL	NULL	NULL	NULL
pulputa	1	Bubble	NULL	Pulputa	NULL	NULL	NULL	NULL	NULL	NULL
pulputtaa	1	Make a bubbling or gurgling noise	Note: not in sync with gurgle.01, no arg1 or arg2 in Finnish	Pitää pulputtavaa ääntä	Huom! Ei synkr. gurgle.01:n kanssa, suomessa ei arg1:ä tai arg2:a	none.01	NULL	NULL	NULL	NULL
punertaa	1	Become red, redden	Note: Not in sync with redden.01, no arg0 in Finnish	Punertaa	Huom! Ei synkr. redden.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
punnita	1	Weigh, measure weight	Note: not in sync with weigh.01, no arg2 or arg3 in Finnish. Literal or figurative.	Punnita, mitata paino	Huom! Ei synkr. weigh.01:n kanssa, suomessa ei arg2:a tai arg3:a. Kirjaimellinen tai kuvainnollinen.	none.01	NULL	NULL	NULL	NULL
puntaroida	1	Ponder (literally "weigh")	(tags: seed:miettiä, model:ponder.01)	Puntaroida, miettiä		none.01	NULL	849	NULL	NULL
puolittaa	1	Cut in halves	tags:model:halve.01	Puolittaa	NULL	NULL	NULL	NULL	NULL	NULL
puoltaa	1	Recommend	NULL	Puoltaa, suositella	NULL	NULL	NULL	NULL	NULL	NULL
puoltaa	2	Support, favour	NULL	Puoltaa, puhua jonkun puolesta	NULL	NULL	NULL	NULL	NULL	NULL
puolustaa	1	Defend	NULL	Ehkäistä, turvata, torjua	NULL	defend.01	NULL	NULL	NULL	NULL
puolustautua	1	Defend oneself	NULL	Puolustautua	NULL	NULL	NULL	NULL	NULL	NULL
puolustella	1	Defend	NULL	Ehkäistä, turvata, torjua	NULL	NULL	NULL	1762	NULL	NULL
pureksia	1	Chew	(tags: model:chew.01)	Pureskella	NULL	chew.01	NULL	NULL	NULL	NULL
pureutua	1	bite	NULL	tarttua kiinni hampailla (kuvainnollisesti)	NULL	bite.01	NULL	NULL	NULL	NULL
puristaa	1	Squeeze, compress		Puristaa, saattaa paineen alaiseksi	NULL	squeeze.01	NULL	NULL	NULL	NULL
purjehtia	1	Sail, move by sailboat	Note: not in sync with sail.01, VVB in Finnish. Arg0 and arg1 mutually exclusive. (tags: VVB)	Purjehtia, liikkua purjeveneellä	Huom! Ei synkr. sail.01:n kanssa, VVB suomessa. Arg0 ja arg1 toisensa poissulkevat.	none.01	NULL	NULL	NULL	NULL
purkaa	1	knock down	NULL	hajottaa osiin (tarkoituksella)	NULL	NULL	NULL	NULL	NULL	NULL
purkaantua	1	Be cancelled, cease to exist	NULL	Peruuntua, lakata olemasta	NULL	none.01	NULL	2467	NULL	NULL
purkaantua	2	Erupt	(tags: model:erupt.01)	Purkaantua, levittää jotain ympäriinsä	NULL	erupt.01	NULL	NULL	NULL	NULL
purkautua	1	Be cancelled, cease to exist	NULL	Peruuntua, lakata olemasta	NULL	NULL	NULL	3224	NULL	NULL
purkautua	2	Erupt	(tags: model:erupt.01)	Purkaantua, levittää jotain ympäriinsä	NULL	NULL	NULL	3225	NULL	NULL
purkittaa	1	Can, put in a can	(tags: model:can.01)	Purkittaa, laittaa purkkiin	NULL	can.01	NULL	NULL	NULL	NULL
purra	1	bite	NULL	ottaa kiinni hampailla	NULL	NULL	NULL	NULL	NULL	NULL
purskahtaa	1	Burst into	NULL	Purskahtaa	NULL	NULL	NULL	NULL	NULL	NULL
purskauttaa	1	Burst, squirt	NULL	Purskauttaa	NULL	NULL	NULL	NULL	NULL	NULL
pusertaa	1	Squeeze, compress		Puristaa, saattaa paineen alaiseksi	NULL	NULL	NULL	2099	NULL	NULL
pusia	1	Kiss	Note: not in sync with kiss.01, no arg2 in Finnish	Suudella	Huom! Ei synkr. kiss.01:n kanssa, suomessa ei arg2:a	NULL	NULL	2560	NULL	NULL
puskea	1	Cram, squeeze	tags:model:cram.01	Tunkea	NULL	NULL	NULL	2638	NULL	NULL
putkahtaa	1	Appear, turn up	Note: not in sync with turn.15, no arg0 in Finnish (tags: model:appear.01, seed:ilmestyä, phrasal)	Ilmestyä, tulla näkyviin	Huom! Ei synkr. turn.15:n kanssa, suomessa ei arg0:a	none.01	NULL	326	NULL	NULL
putoilla	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	NULL	NULL	288	NULL	NULL
putsata	1	Clean, clean up	(tags: model:clean.02)	Siivota, hävittää sotku	NULL	NULL	NULL	1933	NULL	NULL
puuhastella	1	Perform, do	Note: not in sync with perform.01, Finnish has also arg3	Toimittaa, toimia, tehdä, puuhata	Huom! Ei synkr. perform.01:n kanssa, suomessa myös arg3	NULL	NULL	2436	NULL	NULL
puuhata	1	Perform, do	Note: not in sync with perform.01, Finnish has also arg3	Toimittaa, toimia, tehdä, puuhata	Huom! Ei synkr. perform.01:n kanssa, suomessa myös arg3	NULL	NULL	2436	NULL	NULL
puuhata	2	Make, do, produce something	(tags: model:make.01, seed:valmistaa)	Valmistaa, tehdä jotakin	(tags: model:make.01, seed:valmistaa)	NULL	NULL	601	NULL	NULL
puuskuttaa	1	Blow	NULL	Puhaltaa	NULL	NULL	NULL	2474	NULL	NULL
puuttua	1	Not possessing something	Note: not in sync with lack.01, no arg0	Jollain ei ole jotain	Huom! Ei synkr. lack.01:n kanssa, ei arg0:aa		NULL	NULL	02488670	2c71f2
puuttua	2	Intervene, get involved	(tags: model:intervene.01, seed:puuttua)	Puuttua asiaan, tulla väliin	(tags: model:intervene.01, seed:puuttua)	intervene.01	NULL	NULL	02400671	5676fc4
pyhittää	1	Dedicate	(tags: model:dedicate.01, seed:omistaa)	Omistaa jotakin jollekulle	(tags: model:dedicate.01, seed:omistaa)	dedicate.01	NULL	NULL	00839038, 00838696	152353e
pynttäytyä	1	Tart, dude oneself up	NULL	Pynttäytyä	NULL	NULL	NULL	NULL	NULL	NULL
pyrkiä	1	Aim at something, apply to somewhere, try to do something	(tags: model:strive.01, seed:pyrkiä)	Tavoitella jotakin, tähdätä johonkin, hakea jonnekin	NULL	strive.01	NULL	NULL	00967931, 00668857	1e80ccd
pystyttää	1	Put up, build	tags:model:put.13	Pystyttää, rakentaa	NULL	NULL	NULL	NULL	NULL	NULL
pystyä	1	Be able to	(tags: seed:pystyä)	Kyetä tekemään jotakin	NULL	none.01	NULL	NULL	NULL	4be62e9
pysytellä	1	Stay, remain	(tags: seed:pysyä) Note: Not in sync with stay.01, different arg2 and arg3	Pysyä, säilyä	(tags: seed:pysyä) Huom! Ei synkr. stay.01:n kanssa, eri arg2 ja arg3	none.01	NULL	723	NULL	NULL
pysyä	1	Stay, remain	(tags: seed:pysyä) Note: Not in sync with stay.01, different arg2 and arg3	Pysyä, säilyä	(tags: seed:pysyä) Huom! Ei synkr. stay.01:n kanssa, eri arg2 ja arg3	NULL	NULL	NULL	02535533	1e28696
pysähtyä	1	Stop	Note: Not in sync with stop.01, VVB in Finnish. Arg0 and arg1 mutually exclusive. (tags: VVB)	Pysähtyä	Huom. Ei synkr. stop.01:n kanssa, VVB suomessa. Arg0 ja arg1 toisensa poissulkevat.	NULL	NULL	NULL	01781898	3372a70
pysäyttää	1	stop	NULL	saada joku pysähtymään	NULL	stop.01	NULL	NULL	NULL	NULL
pyydellä	1	Request, ask something	(tags: model:request.01)	Pyytää jotain		NULL	NULL	881	NULL	NULL
pyyhkiytyä	1	Be swept (away)	NULL	Pyyhkiytyä (pois)	NULL	none.01	NULL	NULL	NULL	NULL
pyyhkiä	1	Wipe	(tags: model:wipe.01)	Pyyhkiä	NULL	NULL	NULL	NULL	NULL	NULL
pyyhkäistä	1	Wipe	(tags: model:wipe.01)	Pyyhkiä	NULL	NULL	NULL	2500	NULL	NULL
pyytää	1	Request, ask something	(tags: model:request.01)	Pyytää jotain		request.01	NULL	NULL	01009098, 00713515	3ba0de9
pyöritellä	1	Twiddle, twirl	Note: not in sync with either twiddle.01 or twirl.01, also args 2 and 3 in Finnish	Pyöritellä	Huom! Ei synkr. twiddle.01:n eikä twirl.01:n kanssa, suomessa myös arg:t 2 ja 3	NULL	NULL	NULL	NULL	NULL
pyörittää	1	Run, manage	NULL	Pyörittää liiketoimintaa	NULL	NULL	NULL	NULL	NULL	NULL
pyörittää	2	Transport things or steer a vehicle	Note: Not in sync. with transport.01, no arg3 in Finnish, considered VVB in Finnish	Kuljettaa, ohjata kulkuneuvoa paikasta toiseen	Huom! Ei synkr. transport.01:den kanssa, ei arg3:a. Suomessa VVB.	NULL	NULL	2310	NULL	NULL
pyöriä	1	Roll, turn	Note: Not in sync with roll.01, args 0 and 1 mutually exclusive in Finnish	Pyöriä	Huom! Ei synkr. roll.01:n kanssa, arg:t 0 ja 1 toisensa poissulkevia suomessa	NULL	NULL	NULL	NULL	NULL
pyöriä	2	Live, reside	NULL	Pyöriä, oleskella	NULL	NULL	NULL	NULL	NULL	NULL
pyörtyä	1	faint	NULL	menettää tajuntansa	NULL	faint.01	NULL	NULL	NULL	NULL
pyörtää	1	Go back on one's word	tags:phrasal	Pyörtää sanansa tms.	NULL	NULL	NULL	NULL	NULL	NULL
pyörähtää	1	Start up, power up, begin	NULL	Käynnistyä, lähteä käyntiin, alkaa	NULL	NULL	NULL	2524	NULL	NULL
pyöräillä	1	Bicycle	Note: not in sync with bicycle.01, destination is not a theme, added arg2 to arg4 as in usual motion verbs	Ajaa polkupyörällä	Huom! Ei synkr. bicycle.01:n kanssa, määränpää ei ole teema, lisätty arg2:sta arg4:ään kuten normaaleissa liikeverbeissä	none.01	NULL	NULL	NULL	NULL
pyöräyttää	1	Spin, turn	NULL	Pyöräyttää	NULL	NULL	NULL	NULL	NULL	NULL
päihtyä	1	Become intoxicated	Note: not in sync with intoxicate.01, no arg0 in Finnish	Juopua, päihtyä	Huom! Ei synkr. intoxicate.01:n kanssa, suomessa ei arg0:a	NULL	NULL	3420	NULL	NULL
päivitellä	1	Wonder or complaint about something	(tags: model:wonder.01)	Päivitellä, pitää jotakin asiaa tavanomaisesta poikkeavana	NULL	NULL	NULL	NULL	NULL	NULL
päivittyä	1	Be updated, become more modern	Note: not in sync with update.01, no arg0 in Finnish	Tulla päivitetyksi, muuttua nykyaikaisemmaksi	Huom! Ei synkr. update.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
päivittää	1	Update, refresh	(tags: model:update.01)	Päivittää	NULL	update.01	NULL	NULL	NULL	NULL
päivystää	1	Be on duty/on call	NULL	Päivystää, olla käytettävissä kaiken varalta	NULL	none.01	NULL	NULL	NULL	NULL
päivätä	1	Date, assign a date	(tags: model:date.01)	Antaa, määrittää päivämäärä		date.01	NULL	NULL	00696546	402eb32
pärjätä	1	Accomplish task	(tags: model:succeed.01)	Tehdä asiaa kelvollisesti	NULL	NULL	NULL	NULL	02474475, 02443195	1d50618
pärskiä	1	Splash	NULL	Pärskiä	NULL	NULL	NULL	NULL	NULL	NULL
pärskiä	2	Splash	NULL	Pärskyä	NULL	NULL	NULL	NULL	NULL	NULL
pätevöityä	1	Qualify	Note: not in sync with any of the qualify senses	Pätevöityä	Huom! Ei synkr. minkään qualify sensen kanssa.	NULL	NULL	NULL	NULL	NULL
päteä	1	be accurate	NULL	pitää paikkansa	NULL	NULL	NULL	NULL	NULL	NULL
päällystää	1	Cover physically	(tags: model:cover.02, seed:kattaa)	Peittää fyysisesti, ulottua jonkun yli	(tags: model:cover.02, seed:kattaa)	NULL	NULL	NULL	01266629	3f4c3af
pääomittaa	1	Capitalize	tags:model:capitalize.01	Pääomittaa, kapitalisoida	NULL	NULL	NULL	NULL	NULL	NULL
päästä	1	Be allowed to enter, arrive	NULL	Päästä johonkin, päästä perille	NULL	none.01	NULL	NULL	00776604	186dbb3
päästä	2	Get through something, pass	(tags:phrasal)	Päästä läpi	NULL	none.01	NULL	NULL	NULL	NULL
päästä	3	To enable to get one's hands on	(tags:phrasal)	Päästä käsiksi	NULL	none.01	NULL	NULL	NULL	NULL
päästä	4	Escape	NULL	Päästä (äänestä)	NULL	NULL	NULL	NULL	NULL	NULL
päästä	5	Continue	tags:phrasal	Jatkuen	NULL	NULL	NULL	NULL	NULL	NULL
päästää	1	Let something flow, release	Note: not in sync with release.01, arg3 in Finnish (tags: seed:laskea)	Antaa jonkin virrata, päästää	Huom! Ei synkr. release.01:n kanssa, suomessa arg3 (tags: seed:laskea)	NULL	NULL	NULL	01304571	59d260e
päästää	2	Release	Note: not in sync with release.01, arg3 in Finnish (tags: phrasal)	Päästää irti	Huom! Ei synkr. release.01:n kanssa, suomessa arg3	NULL	NULL	314	NULL	NULL
päätellä	1	End, cause to stop	(tags: model:end.01, seed:lopettaa)	Lopettaa, aiheuttaa jonkin loppuminen	NULL	end.01	NULL	1238	NULL	NULL
päätellä	2	Deduce, reach a conclusion	(tags: model:deduce.01)	Päätellä, tehdä päätelmä	NULL	deduce.01	NULL	NULL	NULL	NULL
päättyä	1	End, finish	Note: not in sync with end.01, no arg0 in Finnish	Päättyä, loppua	Huom! Ei synkr. end.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	02466880	53a5f48
päättää	1	End, cause to stop	(tags: model:end.01, seed:lopettaa)	Lopettaa, aiheuttaa jonkin loppuminen	NULL	finish.01	NULL	NULL	NULL	48f7a88
päättää	2	Decide	not in sync with decide.01, no arg2 nor arg3 in Finnish	tehdä päätös	Ei synkr. decide.01:n kanssa, ei arg2:a eikä arg3:a suomessa	none.01	NULL	NULL	00685903	92bd6f
päätyä	1	End up	(tags: model:end.03, seed:päätyä)	Päätyä, ajautua	NULL	end.03	NULL	NULL	00343778	589e3f7
pölliä	1	Steal, commit theft	(tags: model:steal.01) cllq	Varastaa, ottaa ilman lupaa	NULL	NULL	NULL	1999	NULL	NULL
pörrätä	1	Celebrate something	(tags: model:celebrate.02, seed:viettää)	Viettää, juhlia	(tags: model:celebrate.02, seed:viettää)	NULL	NULL	119	NULL	NULL
pörröttää	1	Tousle	NULL	Pörröttää	NULL	NULL	NULL	NULL	NULL	NULL
raadella	1	Savage, attack violently	Literal or figurative (tags: model:savage.01)	Raadella, hyökätä kimppuun	Kirjaimellinen tai kuvainnollinen	savage.01	NULL	NULL	NULL	NULL
raahata	1	Drag ,(try to) cause motion	(tags: model:drag.01)	Raahata, (yrittää) aiheuttaa liikettä	NULL	drag.01	NULL	NULL	NULL	NULL
raapaista	1	Scratch	NULL	Raapaista	NULL	NULL	NULL	NULL	NULL	NULL
raapia	1	scratch	NULL	vetää kynsillä	NULL	NULL	NULL	NULL	NULL	NULL
raapustaa	1	Write, communicate in writing	(tags: model:write.01, seed:kirjoittaa)	Ilmaista, kommunikoida kirjoittamalla	NULL	scribble.01	NULL	NULL	01620891, 00947651, 00961436	568797c
raaskia	1	Have the heart to do something	NULL	Raskia, hennoa	NULL	none.01	NULL	2927	NULL	NULL
raastaa	1	tear	NULL	repiä raasteeksi	NULL	NULL	NULL	NULL	NULL	NULL
raataa	1	Work hard, slave, drudge	NULL	Tehdä ahkerasti jotakin, uurastaa, raataa	NULL	none.01	NULL	3525	NULL	NULL
radioida	1	Broadcast, air	(tags: model:broadcast.01, seed:lähettää)	Lähettää, esittää ohjelmaa sähköisesti	NULL	NULL	NULL	966	NULL	NULL
rahista	1	Rasp	Note: not in sync with rasp.01, no arg0 in Finnish	Rahista	Huom! Ei synkr. rasp.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
rahoittaa	1	Finance, provide money for	(tags: model:finance.01)	Rahoittaa, antaa rahaa	NULL	finance.01	NULL	NULL	NULL	NULL
raiskata	1	Rape	NULL	Raiskata	NULL	NULL	NULL	NULL	NULL	NULL
raiskata	2	Pollute, stain	NULL	Saastuttaa, tahria	NULL	NULL	NULL	NULL	NULL	NULL
raivata	1	Clear, remove	NULL	Raivata, poistaa	NULL	none.01	NULL	NULL	NULL	NULL
raivostua	1	Get angry	NULL	Raivostua, suuttua	NULL	none.01	NULL	NULL	NULL	NULL
raivota	1	Rage, express anger	Not sure if target of anger should be theme, but going with the model. Literal or figuretive. (tags: model:rage.01)	Raivota, ilmaista vihaa	Ei varmaa, pitäisikö vihan kohde olla teema, mutta mennään mallin mukaan. Kirjaimellinen tai kuvainnollinen.	rage.01	NULL	NULL	NULL	NULL
rajata	1	Define something to be something	Abstract or concrete (tags: model:define.01, seed:määrittää)	Määritellä jotakin joksikin	Abstrakti tai konkreettinen (tags: model:define.01, seed:määrittää)	NULL	NULL	NULL	00677989	403d05
rajoittaa	1	Restrict something, limit	(tags: model:limit.01, seed:rajoittaa)	Asettaa rajat, pitää kurissa, vähentää	(tags: model:limit.01, seed:rajoittaa)	restrict.01	NULL	NULL	02373196, 00440273	189e173
rajoittua	1	be limited to	NULL	alueen reuna on jossakin 	NULL	NULL	NULL	NULL	NULL	NULL
rakastaa	1	To like someone or something	(tags: model:like.01, seed:tykätä)	Pitää jostakin	(tags: model:like.01, seed:tykätä)	NULL	NULL	NULL	01728315, 01678463	55d095b
rakastella	1	Make love	NULL	Rakastella	NULL	none.01	NULL	NULL	NULL	NULL
rakastua	1	Fall in love	Note: not in sync with fall.07, different arg2 in Finnish	Rakastua	Huom! Ei synkr. fall.07:n kanssa, suomessa erilainen arg2	NULL	NULL	NULL	NULL	NULL
rakennuttaa	1	Order to be built	NULL	Rakennuttaa	NULL	NULL	NULL	NULL	NULL	NULL
rakentaa	1	Build	(tags: model:build.01)	Tehdä asia valmiiksi	NULL	NULL	NULL	NULL	01874917	480981b
rakentua	1	Include, contain	Note: not in sync with contain.01 (why arg0?) or include.01 or build.03 (can't have arg0 in Finnish) (tags: seed:sisältää)	Pitää jotakin sisällään	Huom! Ei synkr. contain.01:n (miksi arg0?) tai include.01:n kanssa eikä build.03:n kanssa (ei voi ottaa arg0:aa suomessa) (tags: seed:sisältää)	none.01	NULL	NULL	02552032	43dc7d7
